温馨提示,#genre#
CGTN,http://120.76.248.139/live/bfgd/4200000134.m3u8
CGTN俄语,http://120.76.248.139/live/bfgd/4200000309.m3u8
CETV1,http://120.76.248.139/live/bfgd/4200000135.m3u8
CETV2,http://120.76.248.139/live/bfgd/4200000492.m3u8
CCTV怀旧剧场,http://120.76.248.139/live/bfgd/4200000224.m3u8
CCTV风云足球,http://120.76.248.139/live/bfgd/4200000225.m3u8
CCTV世界地理,http://120.76.248.139/live/bfgd/4200000177.m3u8
CCTV女性时尚,http://120.76.248.139/live/bfgd/4200000176.m3u8
CCTV电视指南,http://120.76.248.139/live/bfgd/4200000164.m3u8
中央新影-发现之旅,http://120.76.248.139/live/bfgd/4200000151.m3u8
中央新影-老故事,http://120.76.248.139/live/bfgd/4200000166.m3u8
重温经典,http://120.76.248.139/live/bfgd/4200000635.m3u8
重温经典,http://120.76.248.139/live/bfgd/4200000636.m3u8








CGTN,https://hyf000.eu.org/80947108/CGTN
CGTN纪录,https://hyf000.eu.org/80947108/CGTNJL
CGTN俄语,https://hyf000.eu.org/80947108/CGTNEY
CGTN法语,https://hyf000.eu.org/80947108/CGTNFY
CGTN西语,https://hyf000.eu.org/80947108/CGTNXY
CGTN阿语,https://hyf000.eu.org/80947108/CGTNAY
中国国际教育1,https://hyf000.eu.org/80947108/GJJY1
中国国际教育2,https://hyf000.eu.org/80947108/GJJY2
中国国际教育3,https://hyf000.eu.org/80947108/GJJY3
中国国际教育4,https://hyf000.eu.org/80947108/GJJY4
邵氏电影,https://hyf000.eu.org/80947108/SSDY
重温经典,https://hyf000.eu.org/80947108/CWJD
凤凰电影,https://hyf000.eu.org/80947108/FHDY
CHC家庭电影,http://eastscreen.tv/ooooo.php?id=chcjt
CHC动作电影,http://eastscreen.tv/ooooo.php?id=chcdz
CHC家庭影院,http://eastscreen.tv/ooooo.php?id=chcym






//======================================================


飞哥卫视,#genre#
邵氏电影,https://hyf000.eu.org/80947108/SSDY
重温经典,https://hyf000.eu.org/80947108/CWJD
重温经典,https://hyf000.eu.org/80947108/CWJD1
重温经典,https://hyf000.eu.org/80947108/CWJD2
凤凰电影,https://hyf000.eu.org/80947108/FHDY
凤凰中文,https://hyf000.eu.org/80947108/FHZW
凤凰资讯,https://hyf000.eu.org/80947108/FHZX
凤凰香港,https://hyf000.eu.org/80947108/FHXG


东方卫视,http://z.b.bkpcp.top/m.php?id=dfws
重庆卫视,http://z.b.bkpcp.top/m.php?id=cqws
吉林卫视,http://z.b.bkpcp.top/m.php?id=jlws
辽宁卫视,http://z.b.bkpcp.top/m.php?id=lnws
内蒙古卫视,http://z.b.bkpcp.top/m.php?id=nmws
宁夏卫视,http://z.b.bkpcp.top/m.php?id=nws
甘肃卫视,http://z.b.bkpcp.top/m.php?id=gsws
青海卫视,http://z.b.bkpcp.top/m.php?id=qhws
陕西卫视,http://z.b.bkpcp.top/m.php?id=sws
山东卫视,http://z.b.bkpcp.top/m.php?id=sdws
河南卫视,http://z.b.bkpcp.top/m.php?id=hnws
湖北卫视,http://z.b.bkpcp.top/m.php?id=hubws
湖南卫视,http://z.b.bkpcp.top/m.php?id=hunws
江西卫视,http://z.b.bkpcp.top/m.php?id=jws
江苏卫视,http://z.b.bkpcp.top/m.php?id=jsws
东南卫视,http://z.b.bkpcp.top/m.php?id=dnws
海峡卫视,http://z.b.bkpcp.top/m.php?id=hws
广东卫视,http://z.b.bkpcp.top/m.php?id=gdws
大湾区卫视,http://z.b.bkpcp.top/m.php?id=dwqws
广西卫视,http://z.b.bkpcp.top/m.php?id=gws
